sofifa_id,short_name,long_name,player_positions,nationality,club_name,league_name
158023,L. Messi,Lionel Andres Messi Cuccittini,"RW, ST, CF",Argentina,FC Barcelona,Spain Primera Division
20801,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,"ST, LW",Portugal,Juventus,Italian Serie A
200389,J. Oblak,Jan Oblak,GK,Slovenia,Atlético Madrid,Spain Primera Division
188545,R. Lewandowski,Robert Lewandowski,ST,Poland,FC Bayern München,German 1. Bundesliga
190871,Neymar Jr,Neymar da Silva Santos Junior,"LW, CAM",Brazil,Paris Saint-Germain,French Ligue 1
192985,K. De Bruyne,Kevin De Bruyne,"CAM, CM",Belgium,Manchester City,English Premier League
231747,K. Mbappe,Kylian Mbappe Lottin,"ST, LW, RW",France,Paris Saint-Germain,French Ligue 1
192448,M. ter Stegen,Marc-Andre ter Stegen,GK,Germany,FC Barcelona,Spain Primera Division
203376,V. van Dijk,Virgil van Dijk,CB,Netherlands,Liverpool,English Premier League
212831,Alisson,Alisson Ramses Becker,GK,Brazil,Liverpool,English Premier League
208722,S. Mane,Sadio Mane,LW,Senegal,Liverpool,English Premier League
209331,M. Salah,Mohamed Salah Ghaly,RW,Egypt,Liverpool,English Premier League
192119,T. Courtois,Thibaut Courtois,GK,Belgium,Real Madrid,Spain Primera Division
153079,S. Aguero,Sergio Leonel Aguero del Castillo,ST,Argentina,Manchester City,English Premier League
155862,Sergio Ramos,Sergio Ramos Garcia,CB,Spain,Real Madrid,Spain Primera Division
214977,M. Kranevitter,Claudio Matias Kranevitter,"CDM, CM",Argentina,Monterrey,Mexican Liga MX